Title,Word,Meaning,Source,Niqqud,Here is a list of words with their translations. Return just a list of Hebrew words with vowels/niqqud. Do not include the English translation
Letters 3,יפֶה,beautiful,Primary,יָפֶה,
Letters 3,תפוז,orange (fruit),Primary,תַּפּוּז,
Letters 3,תפוח,apple,Primary,תַּפּוּחַ,
Letters 3,כיף,fun,Primary,כֵּיף,
Letters 3,קוראת,"read (f,s)",Primary,קוֹרֵאת,
Letters 3,קורא,"read (m,s)",Primary,קוֹרֵא,
Letters 3,מתוק,sweet,Primary,מְתוֹק,
Letters 3,יפָה,"beautiful (f,s)",Primary,יָפָה,
Letters 3,ספר,book,Primary,סֵפֶר,
Letters 3,אפרסק,peach,Primary,אַפְּרַסְק,
Letters 3,עצוב,sad,Primary,עָצוּב,
Letters 3,רע,bad,Primary,רַע,
Letters 3,עיתון,newspaper,Primary,עִתּוֹן,
Letters 3,עוף,chicken (food),Primary,עוֹף,
Letters 3,עוגה,cake,Primary,עוּגָה,
Letters 3,רוצֶה,"wants (m,s)",Primary,רוֹצֶה,
Letters 3,מיץ,juice,Primary,מִיץ,
Letters 3,רוצָה,"wants (f,s)",Primary,רוֹצָה,
Letters 3,חמוץ,sour,Primary,חָמוּץ,
Letters 3,טוב,good,Primary,טוֹב,
Letters 3,טעים,tasty,Primary,טַעִים,
Phrases,שלום,hello,Primary,שָׁלוֹם,
Phrases,תודה,thanks,Primary,תּוֹדָה,
Phrases,להתראות,goodbye,Primary,לְהִתְרָאוֹת,
Phrases,מה נשמע?,how are you?,Primary,מַה נִּשְׁמַע?,
Phrases,מה קורה?,what's happening?,Primary,מַה קוֹרֶה?,
Phrases,מה שלומךָ?,how are you? (m),Primary,מַה שְׁלוֹמְךָ?,
Phrases,מה שלומךְ?,how are you? (f),Primary,מַה שְׁלוֹמֵךְ?,
Phrases,בסדר,fine,Primary,בְּסֵדֶר,
Phrases,סליחה,sorry,Primary,סְלִיחָה,
Phrases,בבקשה,please,Primary,בְּבַקָּשָׁה,
Phrases,אין בעד מה,you are welcome,Primary,אֵין בַּעַד מָה,
Phrases,לילה,night,Primary,לַיְלָה,
Phrases,בוקר,morning,Primary,בּוֹקֶר,
Phrases,ערב,evening,Primary,עֶרֶב,
Phrases,אולי,maybe,Primary,אוּלַי,
Phrases,עברית,Hebrew,Primary,עִבְרִית,
Phrases,אנגלית,English,Primary,אַנְגְּלִית,
Phrases,ברוך הבא,welcome,Primary,בָּרוּךְ הַבָּא,
Phrases,קוראים לי,my name is,Primary,קוֹרְאִים לִי,
Phrases,בהצלחה,good luck,Primary,בְּהַצְלָחָה,
Phrases,מזל טוב,congratulations,Primary,מַזָּל טוֹב,
Phrases,תודה רבה,thank you very much,Primary,תּוֹדָה רַבָּה,
Phrases,להנות,to enjoy,Secondary,לְהֵנוֹת,
Phrases,בתיאבון,Bon Appetit,Secondary,בְּתֵיאָבוֹן,
Basics,גברים,men,Primary,גְּבָרִים,
Basics,נשים,women,Primary,נָשִׁים,
Basics,אנחנו,we,Primary,אֲנַחְנוּ,
Basics,ילדים,children,Primary,יְלָדִים,
Basics,רואים,"see (m,p)",Primary,רוֹאִים,
Basics,רואות,"see (f,p)",Primary,רוֹאוֹת,
Basics,הם,they (m),Primary,הֵם,
Basics,הן,they (f),Primary,הֵן,
Basics,אתן,"you (f,p)",Primary,אַתֵּן,
Basics,אתם,"you (m,p)",Primary,אַתֶּם,
There is,יש,there is,Primary,יֵשׁ,
There is,אין,there is no,Primary,אֵין,
There is,לי,to me,Primary,לִי,
There is,לךָ,"to you (m,s)",Primary,לְךָ,
There is,לךְ,"to you (f,s)",Primary,לָךְ,
There is,לו,to him,Primary,לוֹ,
There is,לה,to her,Primary,לָה,
There is,לנו,to us,Primary,לָנוּ,
There is,לכם,"to you (m,p)",Primary,לָכֶם,
There is,לכן,"to you (f,p)",Primary,לָכֵן,
There is,להם,to them (m),Primary,לָהֶם,
There is,להן,to them (f),Primary,לָהֵן,
There is,ל...,to,Primary,ל...,
Adjectives,שמח,"happy (m,s)",Primary,שָׂמֵחַ,
Adjectives,שמחה,"happy (f,s)",Primary,שִׂמְחָה,
Adjectives,שמחים,"happy (m,p)",Primary,שְׂמֵחִים,
Adjectives,שמחות,"happy (f,p)",Primary,שְׂמֵחוֹת,
Adjectives,עצוב,"sad (m,s)",Primary,עָצוּב,
Adjectives,עצובה,"sad (f,s)",Primary,עֲצוּבָה,
Adjectives,עצובים,"sad (m,p)",Primary,עֲצוּבִים,
Adjectives,עצובות,"sad (f,p)",Primary,עֲצוּבוֹת,
Adjectives,יפָה,"beautiful (f,s)",Primary,יָפָה,
Adjectives,יפֶה,"beautiful (m,s)",Primary,יָפֶה,
Adjectives,יפים,"beautiful (m,p)",Primary,יְפִים,
Adjectives,יפות,"beautiful (f,p)",Primary,יְפוֹת,
Adjectives,טעים,"tasty (m,s)",Primary,טַעִים,
Adjectives,טעימה,"tasty (f,s)",Primary,טְעִימָה,
Adjectives,טעימים,"tasty (m,p)",Primary,טְעִימִים,
Adjectives,טעימות,"tasty (f,p)",Primary,טְעִימוֹת,
Adjectives,טוב,"good (m,s)",Primary,טוֹב,
Adjectives,טובה,"good (f,s)",Primary,טוֹבָה,
Adjectives,טובים,"good (m,p)",Primary,טוֹבִים,
Adjectives,טובות,"good (f,p)",Primary,טוֹבוֹת,
Adjectives,רע,"bad (m,s)",Primary,רַע,
Adjectives,רעה,"bad (f,s)",Primary,רָעָה,
Adjectives,רעים,"bad (m,p)",Primary,רָעִים,
Adjectives,רעות,"bad (f,p)",Primary,רָעוֹת,
Food 1,צלחת,plate,Primary,צַלַּחַת,
Food 1,דג,fish,Primary,דָּג,
Food 1,לאכול,to eat,Primary,לֶאֱכוֹל,
Food 1,קפה,coffee,Primary,קָפֶה,
Food 1,ביצה,egg,Primary,בֵּיצָה,
Food 1,ארוחת צהריים,lunch,Primary,אֲרוּחַת צָהֳרַיִם,
Food 1,ארוחת בוקר,breakfast,Primary,אֲרוּחַת בּוֹקֶר,
Food 1,ארוחת ערב,dinner,Primary,אֲרוּחַת עֶרֶב,
Food 1,פרי,fruit,Primary,פְּרִי,
Food 1,פסטה,pasta,Primary,פַּסְטָה,
Food 1,סוכר,sugar,Primary,סוּכָר,
Food 1,שותים,"drink (m,p)",Primary,שׁוֹתִים,
Food 1,שותות,"drink (f,p)",Primary,שׁוֹתוֹת,
Food 1,בירה,beer,Primary,בִּירָה,
Food 1,תות,strawberry,Primary,תּוּת,
Food 1,גבינה,cheese,Primary,גְּבִינָה,
Food 1,בשר,meat,Primary,בָּשָׂר,
Food 1,עגבניה,tomato,Primary,עֲגָבְנִיָּה,
Food 1,מרק,soup,Primary,מָרָק,
Food 1,רוצים,"want (m,p)",Primary,רוֹצִים,
Food 1,רוצות,"want (f,p)",Primary,רוֹצוֹת,
Food 1,שמן,oil,Primary,שֶׁמֶן,
Food 1,לימון,lemon,Primary,לִימוֹן,
Food 1,בננה,banana,Primary,בָּנָנָה,
Food 1,כריך,sandwich,Primary,כַּרְיִיךְ,
Food 1,מלח,salt,Primary,מֶלַח,
Food 1,רעב,"hungry (m,s)",Primary,רָעֵב,
Food 1,בקר,beef,Primary,בָּקָר,
Food 1,בקבוק,bottle,Primary,בַּקְבּוּק,
Food 1,סלט,salad,Primary,סָלָט,
Food 1,חמאה,butter,Primary,חֶמְאָה,
Food 1,פטרייה,mushroom,Primary,פִּטְרִיָּה,
Food 1,פיצה,pizza,Primary,פִּיצָה,
Food 1,אננס,pineapple,Primary,אַנָּנָס,
Food 1,שוקולד,chocolate,Primary,שׁוֹקוֹלָד,
Food 1,זית,olive,Primary,זַיִת,
Animals,חתול,cat,Primary,חָתוּל,
Animals,סוס,horse,Primary,סוּס,
Animals,ציפור,bird,Primary,צִפּוֹר,
Animals,פיל,elephant,Primary,פִּיל,
Animals,ברווז,duck,Primary,בָּרְוָוז,
Animals,צב,turtle,Primary,צָב,
Animals,חמור,donkey,Primary,חֲמוֹר,
Animals,סרטן,crab,Primary,סַרְטָן,
Animals,עכביש,spider,Primary,עַכָּבִישׁ,
Animals,חיה,animal,Primary,חַיָּה,
Animals,דוב,bear,Primary,דּוֹב,
Animals,עכבר,mouse,Primary,עַכְבָּר,
Animals,גמל,camel,Primary,גָּמָל,
Animals,אריה,lion,Primary,אַרְיֵה,
Animals,נשר,eagle,Primary,נֶשֶׁר,
Animals,חיות,animals,Primary,חַיּוֹת,
Animals,זבוב,fly,Primary,זְבוּב,
Animals,חרק,insect,Primary,חָרָק,
Animals,ארנב,rabbit,Primary,אַרְנָב,
Animals,לנבוח,to bark,Primary,לְנַבּוֹחַ,
Animals,נחש,snake,Primary,נָחָשׁ,
Animals,קוף,monkey,Primary,קוֹף,
Animals,זנב,tail,Primary,זָנָב,
Animals,דבורה,bee,Primary,דְּבוֹרָה,
Animals,חיית מחמד,pet,Primary,חַיַּת מַחֲמָד,
Animals,ינשוף,owl,Primary,יַנְשׁוֹף,
Animals,פרה,cow,Primary,פָּרָה,
Animals,תרנגול,rooster,Primary,תַּרְנְגוֹל,
Animals,תרנגולת,chicken (animal),Primary,תַּרְנְגוֹלֶת,
Animals,חזיר,pig,Primary,חֲזִיר,
Plurals,תפוחים,apples,Primary,תַּפּוּחִים,
Plurals,תפוזים,oranges,Primary,תַּפּוּזִים,
Plurals,כלבים,dogs,Primary,כְּלָבִים,
Plurals,חתולים,cats,Primary,חֲתוּלִים,
Plurals,סוסים,horses,Primary,סוּסִים,
Plurals,עיתונים,newspapers,Primary,עִתּוֹנִים,
Plurals,ספרים,books,Primary,סְפָרִים,
Plurals,צבים,turtles,Primary,צְבִים,
Plurals,פילים,elephants,Primary,פִּילִים,
Plurals,ציפורים,birds,Primary,צִפּוֹרִים,
Plurals,כריכים,sandwiches,Primary,כַּרְיִיכִים,
Plurals,ברווזים,ducks,Primary,בָּרְוָוזִים,
Plurals,דרכים,roads,Primary,דְּרָכִים,
Plurals,צלחות,plates,Primary,צַלָּחוֹת,
Plurals,חיות מחמד,pets,Primary,חַיּוֹת מַחֲמָד,
Plurals,יינות,wines,Primary,יֵינוֹת,
Plurals,גבינות,cheeses,Primary,גְּבִינוֹת,
Plurals,בירות,beers,Primary,בִּירוֹת,
Plurals,עוגות,cakes,Primary,עוּגוֹת,
Plurals,כלבות,dogs (f),Primary,כְּלָבוֹת,
Plurals,סוסות,horses (f),Primary,סוּסוֹת,
Plurals,חתולות,cats (f),Primary,חֲתוּלוֹת,
Plurals,ברווזות,ducks (f),Primary,בָּרְוָוזוֹת,
Plurals,פרות,cows,Primary,פָּרוֹת,
Plurals,ילדות,girls,Primary,יְלָדוֹת,
Plurals,אריות,lions,Primary,אַרְיוֹת,
Possessives 1,שלי,my,Primary,שֶׁלִּי,
Possessives 1,שלךָ,"your (m,s)",Primary,שֶׁלְּךָ,
Possessives 1,שלךְ,"your (f,s)",Primary,שֶׁלְּךְ,
Possessives 1,שלו,his,Primary,שֶׁלוֹ,
Possessives 1,שלה,her,Primary,שֶׁלָּה,
Possessives 1,שלכם,"your (m,p)",Primary,שֶׁלָּכֶם,
Possessives 1,שלכן,"your (f,p)",Primary,שֶׁלָּכֶן,
Possessives 1,שלנו,our,Primary,שֶׁלָּנוּ,
Possessives 1,שלהם,their (m),Primary,שֶׁלָּהֶם,
Possessives 1,שלהן,their (f),Primary,שֶׁלָּהֵן,
Possessives 1,של,of,Primary,שֶׁל,
Possessives 1,שיך,belongs,Secondary,שַׁיֵּךְ,
Adjectives 1,קטן,small,Primary,קָטָן,
Adjectives 1,גדול,big,Primary,גָּדוֹל,
Adjectives 1,חדש,new,Primary,חָדָשׁ,
Adjectives 1,ישן,old (objects),Primary,יָשָׁן,
Adjectives 1,חם,hot,Primary,חָם,
Adjectives 1,קר,cold,Primary,קָר,
Adjectives 1,גבוה,"tall, high",Primary,גָּבוֹהַּ,
Adjectives 1,נמוך,"short, low",Primary,נָמוּךְ,
Adjectives 1,קרוב,close,Primary,קָרוֹב,
Adjectives 1,רחוק,"far, distant",Primary,רָחוֹק,
Adjectives 1,ארוך,long,Primary,אָרוּךְ,
Adjectives 1,קצר,short,Primary,קָצָר,
Adjectives 1,איטי,slow,Primary,אִיטִי,
Adjectives 1,מהיר,fast,Primary,מָהִיר,
Adjectives 1,מלא,full,Primary,מָלֵא,
Adjectives 1,ריק,empty,Primary,רֵיק,
Adjectives 1,יבש,dry,Primary,יָבֵשׁ,
Adjectives 1,רטוב,wet,Primary,רָטוּב,
Direct Object,אותי,me,Secondary,אוֹתִי,
Direct Object,אותךָ,"thee (m,s)",Secondary,אוֹתְךָ,
Direct Object,אותךְ,"thee (f,s)",Secondary,אוֹתְךְ,
Direct Object,אותו,"him (m,s)",Secondary,אוֹתוֹ,
Direct Object,אותה,"her (f,s)",Secondary,אוֹתָהּ,
Direct Object,צריך,need,Secondary,צָרִיךְ,
Direct Object,אותנו,us,Secondary,אוֹתָנוּ,
Direct Object,אתכם,"you (m,p)",Secondary,אֶתְכֶם,
Direct Object,אתכן,"you (f,p)",Secondary,אֶתְכֶן,
Direct Object,אותם,"them (m,p)",Secondary,אוֹתָם,
Direct Object,אותן,"them (f,p)",Secondary,אוֹתָן,
Food 2,ארוחה,meal,Primary,אֲרוּחָה,
Food 2,צמחוני,vegetarian,Primary,צְמָחוֹנִי,
Food 2,תה,tea,Primary,תֵּה,
Food 2,מזלג,fork,Primary,מַזְלֵג,
Food 2,סכין,knife,Primary,סַכִּין,
Food 2,כוס,"cup, glass",Primary,כּוֹס,
Food 2,מפית,napkin,Primary,מַפִּית,
Food 2,כף,spoon,Primary,כַּף,
Food 2,קערה,bowl,Primary,קַעֲרָה,
Food 2,לבשל,to cook,Primary,לְבַשֵׁל,
Food 2,צמא,thirsty,Primary,צָמֵא,
Food 2,כפית,teaspoon,Primary,כַּפִּית,
Food 2,תפריט,menu,Primary,תַּפְרִיט,
Food 2,רוטב,"sauce, gravy",Primary,רוֹטֶב,
Food 2,ירק,vegetable,Primary,יָרָק,
Food 2,מסעדה,restaurant,Primary,מִסְעָדָה,
Food 2,פלפל,"pepper, capsicum",Primary,פִּלְפֵּל,
Food 2,מתכון,recipe,Primary,מַתְכוֹן,
Food 2,דבש,honey,Primary,דְּבַשׁ,
Food 2,מלוח,salty,Primary,מְלוּחַ,
Food 2,חריף,"hot, spicy",Primary,חָרִיף,
Food 2,מר,bitter,Primary,מָר,
Food 2,מטבח,kitchen,Primary,מִטְבָּח,
Food 2,מלפפון,cucumber,Primary,מְלַפְּפוֹן,
Food 2,לאפות,to bake,Primary,לְאַפוֹת,
Food 2,גזר,carrot,Primary,גֶּזֶר,
Food 2,ממתק,candy,Primary,מַמְתָּק,
Food 2,עוגייה,cookie,Primary,עוּגִיָּה,
Food 2,אבטיח,watermelon,Primary,אַבָּטִיחַ,
Food 2,בוטן,peanut,Primary,בּוֹטֵן,
Food 2,בצל,onion,Primary,בָּצָל,
Food 2,ריבה,jam,Primary,רִיבָּה,
Food 2,ענב,grape,Primary,עֵנָב,
Food 2,אבוקדו,avocado,Primary,אֲבוֹקָדוֹ,
Food 2,תפוח אדמה,potato,Primary,תַּפּוּחַ אֲדָמָה,
Food 2,משקה,"beverage, drink",Primary,מַשְׁקֶה,
Food 2,דובדבן,cherry,Primary,דּוּבְדְּבָן,
Food 2,מסטיק,gum,Primary,מַסְטִיק,
Food 2,גלידה,ice cream,Primary,גְּלִידָה,
Food 2,מנגו,mango,Primary,מַנְגּוֹ,
Food 2,שום,garlic,Primary,שׁוּם,
Food 2,ריח,smell,Primary,רֵיחַ,
Food 2,טעם,taste,Primary,טַעַם,
Food 2,סיר,pot,Primary,סִיר,
Food 2,מצרכים,ingredients,Primary,מִצְרָכִים,
Food 2,קמח,flour,Primary,קֶמַח,
Clothing,ללבוש,to wear,Primary,לִלְבוֹשׁ,
Clothing,חולצה,shirt,Primary,חוּלְצָה,
Clothing,נעל,shoe,Primary,נַעַל,
Clothing,חצאית,skirt,Primary,חֲצָאִית,
Clothing,מעיל,coat,Primary,מְעִיל,
Clothing,שמלה,dress,Primary,שִׁמְלָה,
Clothing,לנעול,to wear shoes,Primary,לְנַעוֹל,
Clothing,מכנסיים,pants,Primary,מִכְנְסַיִים,
Clothing,חליפה,suit,Primary,חֲלִיפָה,
Clothing,כובע,hat,Primary,כּוֹבַע,
Clothing,חגורה,belt,Primary,חַגוֹרָה,
Clothing,לחבוש,to wear (headgear),Primary,לְחָבוֹשׁ,
Clothing,משקפיים,glasses,Primary,מִשְׁקָפַיִים,
Clothing,משקפי שמש,sunglasses,Primary,מִשְׁקַפֵּי שֶׁמֶשׁ,
Clothing,כפפה,glove,Primary,כַּפָּה,
Clothing,טבעת,ring,Primary,טַבַּעַת,
Clothing,לענוד,to wear (a ring),Primary,לַעֲנוֹד,
Clothing,שרשרת,chain,Primary,שַׁרְשֶׁרֶת,
Clothing,לשים,to put,Primary,לָשִׂים,
Clothing,להרכיב,to wear (glasses),Primary,לְהָרְכִּיב,
Clothing,גרב,sock,Primary,גֶּרֶב,
Clothing,לגרוב,to wear (socks),Primary,לְגָרוֹב,
Clothing,תכשיט,a piece of jewelry,Primary,תַּכְשִׁיט,
Clothing,ג'ינס,jeans,Primary,גּ'ִינְס,
Clothing,בגד ים,swimsuit,Primary,בֶּגֶד יָם,
Clothing,תחפושת,costume,Primary,תַּחְפּוּשֶׁת,
Clothing,עניבה,tie,Primary,עֲנִיבָה,
Clothing,ז'קט,jacket,Primary,ז'ַקֶּט,
Clothing,סוודר,sweater,Primary,סְוֶדָּר,
Clothing,צמיד,bracelet,Primary,צָמִיד,
Clothing,צעיף,scarf,Primary,צָעִיף,
Clothing,כיס,pocket,Primary,כִּיס,
Present 1,כותב,writes,Primary,כּוֹתֵב,
Present 1,שוחה,swims,Primary,שׁוֹחֶה,
Present 1,שומע,hears,Primary,שׁוֹמֵעַ,
Present 1,ישן,sleeps,Primary,יָשֵׁן,
Present 1,נוגע,touches,Primary,נוֹגֵעַ,
Present 1,אומר,says,Primary,אוֹמֵר,
Present 1,עושה,does,Primary,עוֹשֶׁה,
Present 1,עובד,works,Primary,עוֹבֵד,
Present 1,מוצא,finds,Primary,מוֹצֵא,
Present 1,תומך,supports,Primary,תוֹמֵךְ,
Present 1,לוקח,takes,Primary,לוֹקֵחַ,
Present 1,יודע,knows,Primary,יוֹדֵעַ,
Present 1,נותן,gives,Primary,נוֹתֵן,
Present 1,קונה,buys,Primary,קוֹנֶה,
Present 1,מוכר,sells,Primary,מוֹכֵר,
Present 1,רושם,"writes, lists",Primary,רוֹשֵׁם,
Present 1,סוגר,closes,Primary,סוֹגֵר,
Present 1,פותח,opens,Primary,פוֹתֵחַ,
Present 1,כואב,aches,Primary,כּוֹאֵב,
Present 1,חושב,thinks,Primary,חוֹשֵׁב,
Present 1,חוזר,"returns, comes back",Primary,חוֹזֵר,
Present 1,קורא,reads,Primary,קוֹרֵא,
Present 1,שומר,guards,Primary,שׁוֹמֵר,
Present 1,לומד,studies,Primary,לוֹמֵד,
Present 1,הולך,"walks, goes",Primary,הוֹלֵךְ,
Present 1,כועס,is mad about...,Primary,כּוֹעֵס,
Present 1,כולל,includes,Primary,כּוֹלֵל,
Present 1,זוכר,remembers,Primary,זוֹכֵר,
Present 1,רץ,runs,Primary,רָץ,
Present 1,שר,sings,Primary,שָׁר,
Present 1,נח,rests,Primary,נָח,
Present 1,עוזב,leaves,Primary,עוֹזֵב,
Present 1,שוקל,weighs,Primary,שׁוֹקֵל,
Present 1,עוזר,helps,Primary,עוֹזֵר,
Present 1,שונא,hates,Primary,שׁוֹנֵא,
Present 1,חותם,signs,Primary,חוֹתֵם,
Present 1,רוקד,dances,Primary,רוֹקֵד,
Present 1,יוצר,creates,Primary,יוֹצֵר,
Present 1,עומד,stands,Primary,עוֹמֵד,
Present 1,חותך,cuts,Primary,חוֹתֵךְ,
Present 1,יושב,sits,Primary,יוֹשֵׁב,
Present 1,גדל,grows,Primary,גָּדֵל,
Present 1,שוכח,forgets,Primary,שׁוֹכֵחַ,
Present 1,צופה,watches,Primary,צוֹפֶה,
Present 1,יוצא,"goes out, exits",Primary,יוֹצֵא,
Present 1,בוהה,stares,Primary,בּוֹהֶה,
Present 1,שוכר,rents,Primary,שׁוֹכֵר,
Present 1,שולח,sends,Primary,שׁוֹלֵחַ,
Present 1,בודק,checks,Primary,בּוֹדֵק,
Present 1,שובר,breaks,Primary,שׁוֹבֵר,
Present 1,גונב,steals,Primary,גּוֹנֵב,
Present 1,הופך,turns,Primary,הוֹפֵךְ,
Present 1,בורח,"escapes, runs away",Primary,בוֹרֵחַ,
Present 1,מכיר,knows (recognizes),Primary,מַכִּיר,
Present 1,עונֶה,answers,Primary,עוֹנֶה,
Present 1,אחד (-)שני,each other,Secondary,אֶחָד שְׁנַיִ,
Colors,אדום,red,Primary,אָדוֹם,
Colors,כתום,orange (color),Primary,כָּתוֹם,
Colors,שחור,black,Primary,שָׁחוֹר,
Colors,לבן,white,Primary,לָבָן,
Colors,כחול,blue,Primary,כָּחוֹל,
Colors,צהוב,yellow,Primary,צָהוֹב,
Colors,ירוק,green,Primary,יָרוֹק,
Colors,לצבוע,"to paint, to color",Primary,לִצְבּוֹעַ,
Colors,צבע,color,Primary,צֶבַע,
Colors,אפור,grey,Primary,אָפוֹר,
Colors,חום,brown,Primary,חוּם,
Colors,ורוד,pink,Primary,וָרוֹד,
Colors,צבעוני,colorful,Primary,צְבַעוֹנִי,
Colors,סגול,purple,Primary,סְגוֹל,
Prepositions 1,ב...,in,Primary,בְּ...,
Prepositions 1,מ...,from,Primary,מִ...,
Prepositions 1,בשביל,for,Primary,בִּשְׁבִּיל,
Prepositions 1,עם,with,Primary,עִם,
Prepositions 1,ליד,"next to, adjacent to",Primary,לְיַד,
Prepositions 1,בתוך,inside,Primary,בְּתוֹךְ,
Prepositions 1,נגד,against,Primary,נֶגֶד,
Prepositions 1,איתי,with me,Primary,אִיתִי,
Prepositions 1,איתה,with her,Primary,אִיתָה,
Prepositions 1,איתו,with him,Primary,אִיתוֹ,
Prepositions 1,איתנו,with us,Primary,אִיתָנוּ,
Numbers 1,לספור,to count,Primary,לִסְפּוֹר,
Numbers 1,מספר,number,Primary,מִסְפָּר,
Numbers 1,יותר,more,Primary,יוֹתֵר,
Numbers 1,פחות,less,Primary,פָּחוֹת,
Numbers 1,יותר מדי,"too much, too many",Primary,יוֹתֵר מִדַּי,
Numbers 1,הרבה,a lot,Primary,הַרְבֵּה,
Numbers 1,אחת,one (f),Primary,אַחַת,
Numbers 1,אחד,one (m),Primary,אֶחָד,
Numbers 1,שתיים,two (f),Primary,שְׁתַּיִים,
Numbers 1,שניים,two (m),Primary,שְׁנַיִם,
Numbers 1,שלוש,three (f),Primary,שָׁלוֹשׁ,
Numbers 1,שלושה,three (m),Primary,שְׁלוֹשָׁה,
Numbers 1,ארבע,four (f),Primary,אַרְבַּע,
Numbers 1,ארבעה,four (m),Primary,אַרְבָּעָה,
Numbers 1,חמש,five (f),Primary,חָמֵשׁ,
Numbers 1,חמישה,five (m),Primary,חֲמִישָׁה,
Numbers 1,שש,six (f),Primary,שֵׁשׁ,
Numbers 1,שישה,six (m),Primary,שִׁישָׁה,
Numbers 1,שבע,seven (f),Primary,שֶׁבַע,
Numbers 1,שבעה,seven (m),Primary,שִׁבְעָה,
Numbers 1,שמונֶה,eight (f),Primary,שְׁמוֹנֶה,
Numbers 1,שמונָה,eight (m),Primary,שְׁמוֹנָה,
Numbers 1,תשע,nine (f),Primary,תֵּשַׁע,
Numbers 1,תשעה,nine (m),Primary,תִּשְׁעָה,
Numbers 1,עשר,ten (f),Primary,עֶשֶׂר,
Numbers 1,עשרה,ten (m),Primary,עֲשָׂרָה,
Numbers 1,אחת עשרה,eleven (f),Primary,אַחַת עֶשֶׂרָה,
Numbers 1,אחד עשר,eleven (m),Primary,אֶחָד עֶשֶׂר,
Numbers 1,שתים עשרה,twelve (f),Primary,שְׁתַּיִם עֶשֶׂרָה,
Numbers 1,שנים עשר,twelve (m),Primary,שְׁנַיִם עֶשֶׂר,
Numbers 1,שלוש עשרה,thirteen (f),Primary,שָׁלוֹשׁ עֶשֶׂרָה,
Numbers 1,שלושה עשר,thirteen (m),Primary,שְׁלוֹשָׁה עֶשֶׂר,
Numbers 1,עשרים,twenty,Primary,עֶשְׂרִים,
Numbers 1,אפס,zero,Primary,אֶפֶס,
Numbers 1,מדי,too,Secondary,מִדַּי,
Questions,מה?,what?,Primary,מָה?,
Questions,איפה?,where?,Primary,אֵיפֹה?,
Questions,למה?,why?,Primary,לָמָּה?,
Questions,כמה?,"how much?, how many?",Primary,כַּמָּה?,
Questions,מי?,who?,Primary,מִי?,
Questions,מאיפה?,where from?,Primary,מֵאֵיפֹה?,
Questions,מתי?,when?,Primary,מָתַי?,
Questions,איך?,how?,Primary,אֵיךְ?,
Questions,של מי?,whose?,Primary,שֶׁל מִי?,
Questions,איזה?,which? (m),Primary,אֵיזֶה?,
Questions,איזו?,which (f),Primary,אֵיזוֹ?,
Questions,באיזה?,in which?,Primary,בְּאֵיזֶה?,
Questions,עם מי?,with who?,Primary,עִם מִי?,
Questions,לאן?,where to?,Primary,לָאָן?,
Questions,למי?,to who?,Primary,לְמִי?,
